token,freq,pct_sobre_total_tokens,is_function_word,is_short_le_2
que,99008,0.050914353036281515,True,False
eu,48637,0.025011326242582663,True,True
de,45687,0.023494303967038964,True,True
nao,30670,0.01577188921726279,True,False
voce,24542,0.012620596842845234,True,False
uma,16888,0.008684566843858297,True,False
como,16331,0.00839813246844208,True,False
para,16292,0.008378076919714553,True,False
no,16037,0.008246944485726878,True,True
mas,15748,0.008098327727207512,True,False
se,15510,0.007975937455485681,True,True
ela,14379,0.007394326542387402,True,False
da,14359,0.0073840416456040555,True,True
la,13689,0.007039497603361927,True,True
entao,13017,0.006693925071441465,True,False
at,12421,0.00638743514729772,True,True
com,12393,0.006373036291801034,True,False
porque,11507,0.0059174153642987575,True,False
do,11042,0.005678291514085937,True,True
isso,10880,0.005594983850140826,True,False
por,10504,0.005401627790613901,True,False
na,9140,0.004700197829989628,True,True
as,8615,0.004430219289426766,True,True
em,7872,0.0040481353739254215,True,True
ele,7812,0.00401728068357538,True,False
voces,6751,0.0034716669092188157,True,False
si,5730,0.002946622928428946,True,True
el,5664,0.0029126827690439004,True,True
ou,5293,0.0027218979337128115,True,True
quando,4976,0.00255888231969676,True,False
os,4923,0.0025316273432208903,True,True
ser,4741,0.0024380347824924315,True,False
en,4706,0.002420036213121574,True,True
foi,4221,0.002170627466125407,True,False
minha,3442,0.001770030736414037,True,False
ter,3385,0.0017407187805814977,True,False
ate,3298,0.0016959794795739379,True,False
eles,3206,0.0016486689543705412,True,False
con,3203,0.001647126219853039,True,False
meu,3193,0.0016419837714613656,True,False
era,3134,0.0016116433259504915,True,False
tenho,3094,0.0015910735323837973,True,False
un,3068,0.001577703166565446,True,True
sao,2940,0.0015118798271520247,True,False
tinha,2848,0.001464569301948628,True,False
sim,2757,0.0014177730215843985,True,False
una,2503,0.0012871548324358904,True,False
yo,2477,0.0012737844666175391,True,True
pero,2235,0.0011493372155390391,True,False
nos,2189,0.0011256819529373407,True,False
las,2175,0.0011184825251889978,True,False
qual,2168,0.0011148828113148263,True,False
dos,2088,0.001073743224181438,True,False
mi,1989,0.0010228329851038698,True,True
estar,1934,0.000994549518949665,True,False
sobre,1914,0.0009842646221663181,True,False
das,1910,0.0009822076428096487,True,False
los,1888,0.0009708942563479669,True,False
depois,1880,0.000966780297634628,True,False
nem,1851,0.0009518671972987747,True,False
quem,1788,0.0009194697724312313,True,False
eso,1727,0.0008881008372420226,True,False
sua,1690,0.0008690737781928305,True,False
elas,1649,0.0008479897397869689,True,False
nossa,1632,0.0008392475775211239,True,False
tambien,1567,0.0008058216629752457,True,False
seu,1396,0.000717885795477628,True,False
del,1378,0.0007086293883726157,True,False
antes,1377,0.0007081151435334483,True,False
pues,1373,0.0007060581641767789,True,False
entonces,1244,0.00063972057992419,True,False
onde,1235,0.0006350923763716838,True,False
esto,1065,0.0005476707537132334,True,False
sem,1029,0.0005291579395032087,True,False
quanto,843,0.0004335083994180805,True,False
nas,716,0.0003681993048438264,True,False
cuando,688,0.0003538004493471405,True,False
nosso,687,0.00035328620450797313,True,False
son,679,0.0003491722457946343,True,False
ustedes,627,0.0003224315141579318,True,False
entre,604,0.00031060388285708264,True,False
for,565,0.00029054833412955574,True,False
aquilo,557,0.0002864343754162169,True,False
quais,504,0.00025917939894034707,True,False
uns,472,0.00024272356408699172,True,False
umas,453,0.00023295291214281197,True,False
quien,424,0.00021803981180695866,True,False
cual,419,0.0002154685876111219,True,False
tengo,409,0.00021032613921944833,True,False
sera,402,0.00020672642534527683,True,False
despues,388,0.00019952699759693385,True,False
su,347,0.0001784429591910723,True,True
donde,268,0.00013781761689685121,True,False
tener,248,0.00012753272011350412,True,False
fue,205,0.00010542019202930784,True,False
ni,198,0.00010182047815513636,True,True
sus,191,9.822076428096487e-05,True,False
hasta,181,9.307831588929132e-05,True,False
by,164,8.433615362344627e-05,True,True
porem,155,7.970795007094008e-05,True,False
ellos,141,7.25085223225971e-05,True,False
sin,139,7.148003264426239e-05,True,False
cuales,127,6.530909457425413e-05,True,False
he,118,6.068089102174793e-05,True,True
mis,108,5.5538442630074374e-05,True,False
haber,107,5.502419779090702e-05,True,False
ella,104,5.3481463273404954e-05,True,False
nuestro,99,5.091023907756818e-05,True,False
aunque,93,4.7824770042564044e-05,True,False
unas,75,3.856836293755165e-05,True,False
cuanto,72,3.7025628420049585e-05,True,False
tenia,66,3.394015938504545e-05,True,False
unos,58,2.982620067170661e-05,True,False
pois,56,2.87977109933719e-05,True,False
the,44,2.2626772923363635e-05,True,False
nuestra,32,1.645583485335537e-05,True,False
on,23,1.1827631300849172e-05,True,True
or,19,9.770651944179751e-06,True,True
in,19,9.770651944179751e-06,True,True
is,18,9.256407105012396e-06,True,True
